year,month,day,dayOfWeek,airline,flightNumber,origin,destination,departureDelay,arrivalDelay,cancelled,diverted
2015,11,24,2,DL,DL1001,ATL,SEA,7.38,13.24,0,0
2015,10,30,5,NK,NK1002,DFW,ATL,6.18,19.98,0,0
2015,12,26,6,NK,NK1003,SFO,CLT,5.33,7.48,0,0
2015,6,24,3,B6,B61004,LAX,BOS,54.29,60.31,0,0
2015,11,6,5,B6,B61005,DFW,CLT,12.69,14.38,0,0
2015,11,13,5,AS,AS1006,BOS,DEN,5.92,15.47,0,0
2015,2,21,6,NK,NK1007,SEA,CLT,17.38,26.16,0,0
2015,12,16,3,DL,DL1008,JFK,SFO,-12.55,7.05,0,0
2015,12,17,4,AS,AS1009,DFW,SFO,29.12,24.5,0,0
2015,10,18,7,AS,AS1010,BOS,IAH,12.62,11.09,0,0
2015,10,15,4,B6,B61011,DTW,MSP,9.36,12.29,0,0
2015,2,26,4,UA,UA1012,JFK,DTW,-3.07,7.06,0,0
2015,10,11,7,AA,AA1013,ORD,SEA,19.63,28.26,0,1
2015,5,15,5,UA,UA1014,ORD,MIA,17.02,19.76,0,0
2015,9,29,2,AA,AA1015,PHX,IAH,19.83,15.75,0,0
2015,1,30,5,WN,WN1016,DEN,IAH,39.66,41.3,0,0
2015,10,9,5,UA,UA1017,SEA,DTW,97.83,95.03,0,0
2015,7,24,5,AS,AS1018,CLT,ORD,6.52,10.17,0,0
2015,1,4,7,DL,DL1019,DFW,SFO,12.03,16.44,0,0
2015,9,6,7,WN,WN1020,LAX,IAH,-3.06,1.32,0,0
2015,7,1,3,NK,NK1021,DTW,CLT,94.31,101.2,0,0
2015,6,23,2,DL,DL1022,SFO,BOS,-2.94,2.72,0,0
2015,2,8,7,F9,F91023,ORD,DFW,23.0,25.65,0,0
2015,5,2,6,UA,UA1024,DTW,IAH,16.39,6.42,0,1
2015,7,19,7,B6,B61025,CLT,MIA,30.32,26.36,0,0
2015,3,21,6,WN,WN1026,MIA,BOS,32.54,30.77,0,0
2015,10,27,2,F9,F91027,JFK,DFW,74.04,79.51,0,0
2015,5,1,5,NK,NK1028,ORD,SFO,8.21,12.03,0,0
2015,6,11,4,B6,B61029,BOS,PHX,-4.47,5.8,0,0
2015,2,7,6,AA,AA1030,CLT,ORD,6.44,15.55,0,0
2015,5,6,3,AS,AS1031,MIA,JFK,-1.54,-0.36,0,0
2015,9,28,1,AA,AA1032,MIA,ORD,68.23,74.19,0,0
2015,5,20,3,B6,B61033,BOS,PHX,0.84,-0.84,0,0
2015,1,27,2,DL,DL1034,DTW,SEA,2.88,9.55,0,0
2015,8,15,6,NK,NK1035,ATL,ORD,17.85,9.24,0,0
2015,10,26,1,UA,UA1036,DTW,LAX,-7.27,9.71,0,0
2015,7,3,5,WN,WN1037,SFO,ORD,-10.17,-13.16,0,0
2015,5,2,6,UA,UA1038,JFK,DTW,4.39,0.23,0,0
2015,5,8,5,B6,B61039,JFK,ORD,13.76,18.93,0,0
2015,6,29,1,B6,B61040,SFO,ATL,17.21,24.06,0,0
2015,6,29,1,NK,NK1041,PHX,ATL,9.93,12.0,0,0
2015,2,25,3,NK,NK1042,LAS,PHX,8.95,11.56,0,0
2015,1,23,5,NK,NK1043,ATL,BOS,15.7,23.73,0,0
2015,3,5,4,B6,B61044,MIA,DTW,1.69,-4.93,0,0
2015,7,14,2,UA,UA1045,MIA,MSP,11.58,14.6,0,0
2015,12,2,3,AS,AS1046,CLT,BOS,10.5,-6.02,0,0
2015,5,26,2,AS,AS1047,DEN,SFO,0.0,0.0,1,0
2015,9,1,2,DL,DL1048,CLT,DTW,24.62,21.79,0,0
2015,3,17,2,AA,AA1049,ORD,DTW,9.12,0.48,0,0
2015,3,4,3,F9,F91050,LAX,CLT,41.1,43.28,0,0
2015,11,10,2,NK,NK1051,CLT,JFK,15.82,19.8,0,0
2015,9,24,4,F9,F91052,SFO,SEA,3.67,0.97,0,0
2015,2,11,3,UA,UA1053,LAX,SFO,8.18,15.73,0,0
2015,8,27,4,NK,NK1054,DFW,BOS,9.2,20.97,0,0
2015,10,22,4,NK,NK1055,IAH,ATL,52.53,63.12,0,0
2015,10,3,6,WN,WN1056,IAH,SFO,-2.91,0.81,0,0
2015,3,26,4,F9,F91057,LAX,ATL,29.1,25.66,0,0
2015,8,25,2,UA,UA1058,DFW,SEA,6.7,16.61,0,0
2015,8,4,2,B6,B61059,DEN,IAH,-20,-25.45,0,0
2015,11,30,1,AA,AA1060,ATL,SFO,9.56,13.15,0,0
2015,10,16,5,WN,WN1061,CLT,SEA,33.1,45.61,0,0
2015,3,25,3,B6,B61062,ORD,ATL,11.46,6.45,0,0
2015,4,12,7,DL,DL1063,SFO,ORD,19.2,33.72,0,0
2015,10,17,6,AA,AA1064,LAS,DTW,0.0,0.0,1,0
2015,9,8,2,DL,DL1065,DTW,LAS,33.93,25.89,0,0
2015,11,30,1,B6,B61066,IAH,CLT,4.25,0.97,0,0
2015,2,14,6,B6,B61067,CLT,SFO,8.86,6.81,0,0
2015,6,16,2,UA,UA1068,IAH,BOS,4.66,14.13,0,0
2015,10,12,1,AA,AA1069,BOS,DEN,-3.47,5.18,0,0
2015,12,31,4,F9,F91070,CLT,ATL,7.18,22.26,0,0
2015,8,31,1,AS,AS1071,DTW,PHX,-1.56,3.4,0,0
2015,6,11,4,DL,DL1072,JFK,BOS,-7.78,-3.51,0,0
2015,5,25,1,DL,DL1073,BOS,MIA,5.58,9.8,0,0
2015,1,28,3,B6,B61074,LAX,IAH,11.52,15.02,0,0
2015,1,27,2,B6,B61075,IAH,ORD,21.18,26.01,0,0
2015,3,18,3,B6,B61076,DEN,SFO,5.99,-1.89,0,0
2015,9,25,5,NK,NK1077,CLT,MIA,81.3,83.87,0,0
2015,2,20,5,WN,WN1078,BOS,SEA,29.09,36.21,0,1
2015,8,19,3,F9,F91079,MIA,DFW,1.67,-7.34,0,0
2015,5,16,6,WN,WN1080,DTW,ORD,-5.49,-16.49,0,0
2015,3,26,4,B6,B61081,MIA,CLT,0.34,-8.16,0,0
2015,9,10,4,F9,F91082,DEN,DFW,56.7,48.87,0,0
2015,12,12,6,AA,AA1083,SEA,DFW,31.58,43.21,0,0
2015,10,27,2,NK,NK1084,IAH,DEN,-0.9,5.93,0,0
2015,7,30,4,F9,F91085,MIA,MSP,12.43,12.7,0,0
2015,7,26,7,AA,AA1086,CLT,DTW,-6.09,-4.38,0,0
2015,1,27,2,WN,WN1087,SEA,LAX,24.19,31.88,0,0
2015,11,8,7,WN,WN1088,JFK,MIA,1.65,3.51,0,0
2015,8,25,2,DL,DL1089,LAX,IAH,49.84,64.92,0,0
2015,8,30,7,WN,WN1090,CLT,LAX,13.41,11.92,0,0
2015,5,22,5,NK,NK1091,PHX,SEA,22.93,32.52,0,0
2015,9,8,2,UA,UA1092,CLT,IAH,-4.49,-4.7,0,0
2015,4,7,2,WN,WN1093,MSP,SFO,41.47,48.19,0,0
2015,7,15,3,NK,NK1094,LAX,IAH,105.48,123.26,0,0
2015,8,14,5,DL,DL1095,CLT,ATL,10.22,19.47,0,0
2015,5,16,6,AS,AS1096,MSP,DEN,89.69,80.01,0,0
2015,9,7,1,AA,AA1097,DEN,SFO,61.43,51.26,0,0
2015,2,20,5,DL,DL1098,CLT,JFK,28.02,29.62,0,0
2015,7,11,6,NK,NK1099,LAX,SFO,-7.99,-10.7,0,0
2015,7,15,3,WN,WN1100,IAH,LAX,-0.75,-4.51,0,0
2015,8,27,4,B6,B61101,JFK,DEN,-1.02,10.76,0,0
2015,5,9,6,F9,F91102,MIA,BOS,131.49,131.46,0,0
2015,6,1,1,B6,B61103,ATL,MSP,-6.14,-8.04,0,0
2015,11,7,6,F9,F91104,MIA,SFO,14.76,26.87,0,0
2015,12,4,5,UA,UA1105,ORD,DFW,-4.81,2.02,0,0
2015,6,1,1,AS,AS1106,DTW,JFK,8.72,-4.21,0,0
2015,5,20,3,UA,UA1107,SEA,IAH,45.86,64.39,0,0
2015,2,8,7,UA,UA1108,SFO,MSP,68.02,63.83,0,0
2015,10,2,5,DL,DL1109,CLT,LAS,17.54,11.17,0,0
2015,2,25,3,WN,WN1110,IAH,ATL,35.02,35.53,0,0
2015,11,22,7,F9,F91111,MIA,DTW,7.11,10.73,0,0
2015,5,1,5,UA,UA1112,MSP,CLT,16.73,15.87,0,0
2015,3,21,6,NK,NK1113,ORD,IAH,34.02,34.6,0,0
2015,8,16,7,WN,WN1114,LAS,ORD,62.08,77.84,0,0
2015,5,22,5,WN,WN1115,ORD,CLT,7.7,21.81,0,0
2015,6,20,6,WN,WN1116,LAX,BOS,5.52,3.09,0,0
2015,6,18,4,UA,UA1117,ATL,SEA,68.11,74.44,0,0
2015,12,5,6,AA,AA1118,LAX,ATL,0.0,0.0,1,0
2015,3,6,5,NK,NK1119,ORD,DEN,6.68,0.23,0,0
2015,11,11,3,AA,AA1120,MIA,CLT,67.64,76.28,0,0
2015,2,25,3,F9,F91121,CLT,DEN,53.8,60.88,0,0
2015,10,27,2,AS,AS1122,MSP,MIA,2.12,2.87,0,0
2015,11,30,1,WN,WN1123,DTW,CLT,19.84,30.57,0,0
2015,6,10,3,NK,NK1124,PHX,SEA,15.4,33.23,0,0
2015,2,17,2,NK,NK1125,ORD,LAS,10.04,9.35,0,0
2015,3,4,3,NK,NK1126,LAS,DTW,48.12,30.44,0,0
2015,10,23,5,WN,WN1127,LAX,IAH,17.02,29.74,0,0
2015,10,21,3,WN,WN1128,DTW,ATL,14.9,7.6,0,0
2015,6,8,1,AS,AS1129,LAS,ATL,12.28,24.45,0,0
2015,1,16,5,DL,DL1130,BOS,MSP,0.84,10.31,0,0
2015,10,18,7,DL,DL1131,DFW,LAX,-3.84,-8.92,0,0
2015,9,6,7,F9,F91132,DTW,SEA,-2.34,0.09,0,0
2015,10,31,6,F9,F91133,MIA,DFW,7.67,10.41,0,0
2015,3,12,4,B6,B61134,MIA,PHX,-3.49,-0.35,0,0
